provincia,departamento,cantidad_bp,cantidad_ee,poblacion_total
La Rioja,ARAUCO,1,34,16251.0
Corrientes,MBURUCUYA,0,34,11541.0
Salta,IRUYA,0,34,6116.0
La Pampa,CHAPALEUFU,5,33,12277.0
Río Negro,PILCANIYEU,2,33,9309.0
Chaco,2 DE ABRIL,1,33,8310.0
Santa Cruz,LAGO ARGENTINO,1,33,25384.0
Buenos Aires,FLORENTINO AMEGHINO,0,33,10759.0
Santiago del Estero,SILIPICA,0,33,9766.0
Catamarca,FRAY MAMERTO ESQUIU,4,32,14624.0
La Pampa,ATREUCO,5,31,11053.0
Río Negro,EL CUY,2,31,6960.0
Buenos Aires,HIPOLITO YRIGOYEN,1,31,10581.0
Salta,CHICOANA,0,31,24715.0
Río Negro,PICHI MAHUIDA,1,30,16493.0
Salta,SAN CARLOS,1,30,7779.0
Buenos Aires,SAN CAYETANO,2,29,8918.0
Catamarca,PACLIN,2,29,4696.0
Buenos Aires,GENERAL LAVALLE,1,29,4846.0
Buenos Aires,LEZAMA,0,29,6170.0
La Pampa,LOVENTUE,3,28,9243.0
Chaco,GENERAL BELGRANO,1,28,12807.0
Corrientes,ITATI,1,28,11946.0
Río Negro,9 DE JULIO,0,28,3682.0
Buenos Aires,GENERAL GUIDO,1,27,3157.0
Buenos Aires,TRES LOMAS,1,27,9090.0
La Rioja,GENERAL ANGEL V PEÑALOZA,1,27,3184.0
La Pampa,PUELEN,0,27,11636.0
Salta,CACHI,0,27,8928.0
Santiago del Estero,SARMIENTO,0,27,5034.0
La Pampa,GUATRACHE,5,26,9397.0
La Pampa,QUEMU QUEMU,4,26,8404.0
Chubut,SARMIENTO,1,26,14477.0
Jujuy,SANTA CATALINA,0,26,2641.0
Santiago del Estero,AGUIRRE,0,26,8959.0
Neuquén,ÑORQUIN,2,25,5572.0
Buenos Aires,PELLEGRINI,1,25,7112.0
Chubut,RIO SENGUER,1,25,6347.0
Corrientes,GENERAL ALVEAR,1,25,9051.0
Neuquén,AÑELO,1,25,18150.0
Río Negro,CONESA,1,25,7398.0
Salta,MOLINOS,1,25,5808.0
Jujuy,TUMBAYA,2,24,5298.0
Neuquén,LOS LAGOS,1,24,15502.0
Neuquén,PICUNCHES,1,24,8471.0
Santiago del Estero,BELGRANO,1,24,10809.0
Santiago del Estero,RIVADAVIA,1,24,5314.0
Neuquén,LONCOPUE,1,23,7696.0
Salta,CAFAYATE,1,23,17822.0
Buenos Aires,SALLIQUELO,0,23,9344.0
Córdoba,SOBREMONTE,0,23,4381.0
Santa Cruz,CORPEN AIKE,0,23,15035.0
Jujuy,SUSQUES,2,22,3966.0
Río Negro,ÑORQUINCO,2,22,1452.0
Río Negro,VALCHETA,1,22,4300.0
Salta,LA CALDERA,2,21,12246.0
Buenos Aires,MONTE HERMOSO,1,21,8444.0
La Pampa,TOAY,1,21,17927.0
La Rioja,SAN BLAS DE LOS SAUCES,1,21,4306.0
