Cueanexo,Jurisdicción,Código de departamento,Común,Nivel inicial - Jardín maternal,Nivel inicial - Jardín de infantes,Primario,Secundario
20038400,Ciudad de Buenos Aires,2112,,,,,
20038500,Ciudad de Buenos Aires,2112,,,,,
20038600,Ciudad de Buenos Aires,2105,1.0,,,1.0,
20038700,Ciudad de Buenos Aires,2112,1.0,1.0,1.0,1.0,1.0
20038800,Ciudad de Buenos Aires,2105,,,,,
20038900,Ciudad de Buenos Aires,2104,,,,,
20039000,Ciudad de Buenos Aires,2114,,,,,
20039100,Ciudad de Buenos Aires,2102,,,,,
20039200,Ciudad de Buenos Aires,2101,,,,,
20039300,Ciudad de Buenos Aires,2102,,,,,
20039400,Ciudad de Buenos Aires,2102,,,,,
20039800,Ciudad de Buenos Aires,2107,1.0,1.0,1.0,,
20039801,Ciudad de Buenos Aires,2107,1.0,,,1.0,
20039900,Ciudad de Buenos Aires,2111,1.0,,,1.0,
20040000,Ciudad de Buenos Aires,2107,1.0,,,1.0,
20040100,Ciudad de Buenos Aires,2113,1.0,,,,1.0
20040200,Ciudad de Buenos Aires,2105,1.0,,1.0,1.0,1.0
20040300,Ciudad de Buenos Aires,2107,1.0,1.0,1.0,1.0,1.0
20040400,Ciudad de Buenos Aires,2105,1.0,,,1.0,
20040500,Ciudad de Buenos Aires,2114,,,,,
20040700,Ciudad de Buenos Aires,2103,1.0,1.0,1.0,1.0,1.0
20040800,Ciudad de Buenos Aires,2105,,,,,
20040801,Ciudad de Buenos Aires,2105,,,,,
20040900,Ciudad de Buenos Aires,2108,,,,,
20041000,Ciudad de Buenos Aires,2103,1.0,,,1.0,
20041100,Ciudad de Buenos Aires,2104,1.0,,1.0,1.0,1.0
20041200,Ciudad de Buenos Aires,2103,1.0,,1.0,1.0,
20041300,Ciudad de Buenos Aires,2110,1.0,,,1.0,
20041400,Ciudad de Buenos Aires,2113,1.0,,,,1.0
20041500,Ciudad de Buenos Aires,2113,1.0,1.0,1.0,1.0,1.0
20041600,Ciudad de Buenos Aires,2113,,,,,
20041700,Ciudad de Buenos Aires,2110,1.0,,,1.0,
20041800,Ciudad de Buenos Aires,2104,1.0,,,1.0,
20041900,Ciudad de Buenos Aires,2107,1.0,,,1.0,
20042000,Ciudad de Buenos Aires,2105,1.0,,1.0,1.0,1.0
20042100,Ciudad de Buenos Aires,2113,1.0,,,1.0,
20042200,Ciudad de Buenos Aires,2104,1.0,1.0,1.0,1.0,1.0
20042300,Ciudad de Buenos Aires,2102,,,,,
20042400,Ciudad de Buenos Aires,2101,1.0,,,,
20042500,Ciudad de Buenos Aires,2103,1.0,,1.0,1.0,
20042600,Ciudad de Buenos Aires,2108,1.0,,1.0,,
20042700,Ciudad de Buenos Aires,2112,1.0,,1.0,,
20042800,Ciudad de Buenos Aires,2111,1.0,1.0,1.0,1.0,1.0
20043100,Ciudad de Buenos Aires,2101,,,,,
20043300,Ciudad de Buenos Aires,2108,1.0,,,1.0,
20043600,Ciudad de Buenos Aires,2115,,,,,
20043700,Ciudad de Buenos Aires,2114,1.0,,1.0,1.0,
20043800,Ciudad de Buenos Aires,2103,1.0,,,1.0,
20043900,Ciudad de Buenos Aires,2103,1.0,,1.0,,
20044000,Ciudad de Buenos Aires,2111,1.0,1.0,1.0,1.0,
20044100,Ciudad de Buenos Aires,2104,1.0,,,1.0,
20044200,Ciudad de Buenos Aires,2104,1.0,,1.0,,
20044400,Ciudad de Buenos Aires,2107,1.0,,1.0,,
